transaction_id,user_id,timestamp,amount,merchant_category,city_tier,payment_status,device_type
0b0cfae0-984d-4bf9-a5e8-3ba879e4eb5a,5df670d2,2024-11-23 03:01:00,1207.2,Groceries,Tier 1,Success,Android
190358a0-6b30-4b81-898f-512bb91d4fcc,88db6f87,2024-10-06 02:37:00,563.45,Food,Tier 1,Success,Android
c2a897e7-21a4-44c6-9b08-27c865880e66,200744eb,2024-10-14 06:45:00,1446.97,Shopping,Tier 1,Success,Android
52c9f5e1-d359-4b2e-9c7a-43e7545e64c2,88db6f87,2024-01-04 05:44:00,4136.63,Groceries,Tier 1,Failed,Android
deeb22a0-6165-4f2a-a4ad-76faae86835a,4c20c4ac,2024-02-17 12:06:00,502.21,Transport,Tier 2,Success,iOS
abc22590-cc43-49fb-adb4-3ff939043a79,2f2ea522,2024-10-01 03:59:00,502.22,Food,Tier 1,Success,iOS
f5ac97fe-9d83-4073-9a03-81417c0bcd0b,1aad5456,2024-07-04 18:12:00,4425.13,Food,Tier 2,Success,Web
471061e2-1cc0-4d53-bd1b-dbbccb62aa3d,1fee0ba6,2024-04-29 03:24:00,1670.57,Recharge,Tier 3,Success,Android
11c196ad-a069-4aa7-9e9b-4f3ed036446a,46338114,2024-12-09 08:44:00,378.66,Shopping,Tier 1,Success,Android
f2adc40b-e25f-4135-ab56-c7906a15f9b2,9eecea90,2024-05-05 05:29:00,1275.47,Groceries,Tier 3,Success,Android
182d78d7-2cd7-4d67-a90c-7864bfd51063,01c8cb58,2024-06-15 01:14:00,381.42,Food,Tier 1,Success,Android
7e3f8c5e-1f54-465f-b2f4-4e213235e3ff,095c5ddc,2024-10-17 22:20:00,380.36,Shopping,Tier 1,Failed,Android
6faa65a2-e002-44c7-bb7d-f6126167f039,ede25713,2024-05-15 04:15:00,889.23,EMI,Tier 1,Success,iOS
91a36655-1baf-4723-b501-46ed3dcb4c38,c12078da,2024-07-23 11:14:00,66.96,Recharge,Tier 1,Success,Android
7f10ec64-ac10-444f-8878-903973cba719,7962ebdc,2024-11-17 05:50:00,83.94,Recharge,Tier 1,Success,Web
9e8107b0-853f-4a69-b1f4-121fb42f64e4,78f36abf,2024-09-27 08:35:00,338.75,Utilities,Tier 2,Success,iOS
5ad1a451-0a67-49c2-ab0f-ebebf98e26a6,4681b457,2024-05-16 20:21:00,197.28,Groceries,Tier 1,Success,iOS
25e3f99b-c1ff-4d58-a2f5-596b397236cb,4d41d2d2,2024-05-14 16:48:00,969.81,Recharge,Tier 1,Success,iOS
3465d204-ef9a-4eb8-8f20-e19818132d2f,84dfa6ed,2024-09-16 19:12:00,223.71,Groceries,Tier 1,Failed,Web
961a3d27-a452-4d76-bedb-4bfb531d45dc,e5a229d9,2024-01-01 19:20:00,122.15,Food,Tier 3,Success,iOS
c2fcc67c-e860-4da3-ac62-fb8b481789d5,8cc6a0b5,2024-06-06 07:03:00,3861.37,Transport,Tier 3,Success,Android
cde7a540-5dad-40e5-a713-32ae2a09b177,7dd273fd,2024-02-05 17:49:00,507.28,Food,Tier 2,Success,Android
c4152cc8-dbdd-4e93-95e9-fa29420a3c0b,9bc96550,2024-11-06 13:13:00,721.28,EMI,Tier 2,Success,Android
03ffa7dc-a0f3-4989-9299-f51cdffa58f5,b5817c53,2024-12-09 20:23:00,120.34,Utilities,Tier 2,Success,Android
5f4b3eaa-08d3-43fb-ba25-201ade04d52c,02c93baa,2024-01-11 18:35:00,346.1,EMI,Tier 1,Success,Android
c5ede606-c715-44b2-82af-a53d75777f63,3ff44d07,2024-02-04 01:55:00,759.84,Food,Tier 1,Success,Android
e40ae9c5-5cd6-49fe-bf58-e7db3f061c1e,100061c3,2024-03-08 23:59:00,167.14,EMI,Tier 2,Success,iOS
5a5613fa-aaa2-4dc5-b98a-88db7f99fc96,795f9108,2024-04-07 03:06:00,1044.02,Recharge,Tier 1,Success,iOS
5688c30d-a031-46ef-9043-bb1b5949a0ee,eacf7f6d,2024-12-10 20:41:00,323.51,Food,Tier 2,Success,Android
54c9a348-f411-4f8f-8758-d02ae245e63f,73a87b13,2024-04-08 06:34:00,468.7,Food,Tier 1,Success,iOS
f255bc2e-569f-4f90-ad1f-baf7d27310eb,5dbf1d87,2024-02-08 14:51:00,323.1,Transport,Tier 1,Success,Android
2e7977b7-24c6-4a98-8029-506864486b14,53abe28b,2024-01-08 02:59:00,6140.94,Transport,Tier 1,Success,Android
46615072-b935-4e80-9671-9cac1e1d1d60,9eecea90,2024-07-24 01:10:00,654.46,Food,Tier 1,Failed,iOS
3180aa71-812e-4c70-9d7d-c9488c88637a,08cc8f7d,2024-05-26 13:44:00,186.93,Shopping,Tier 2,Success,Android
f2f2fcc1-f93e-482d-8ba7-8b2ea6fcbc84,52eb1528,2024-04-07 09:13:00,1784.79,Food,Tier 2,Success,Android
d9c0688f-939c-4c33-ba4f-92e67b473dd9,d1fbe090,2024-01-26 18:30:00,153.7,Utilities,Tier 2,Success,Android
af22523a-1976-4e51-87b3-9ee7f5446b9f,73d546ec,2024-04-05 02:38:00,854.6,Shopping,Tier 1,Success,iOS
daeadecc-4800-46aa-ae88-c13686563b5e,c229ce67,2024-05-06 18:38:00,63.33,EMI,Tier 1,Success,Android
4bcc889e-3a6b-44a5-8915-d67f62a37df6,1ae7f03f,2024-05-13 06:42:00,135.12,Groceries,Tier 1,Success,Android
c130e4ba-7eb1-4b1c-9040-1bcd2c8a0769,a9d51108,2024-08-22 10:59:00,842.38,Utilities,Tier 1,Success,Android
776e96c8-6e53-4a74-a2d2-9980d4c072d3,37c4c0eb,2024-02-21 02:34:00,1613.5,Recharge,Tier 1,Success,Android
c2bc25d1-bf36-4f96-bd53-06ee0a60dc02,28dfae29,2024-05-05 11:18:00,817.0,Recharge,Tier 2,Success,Web
734d32b5-a96c-4f04-a1a0-817f874b6997,3497a88e,2024-11-30 16:00:00,578.95,Transport,Tier 1,Success,Web
660a17dc-0419-4af7-bb0e-d543b1d204e5,b9407fe3,2024-03-09 08:07:00,463.44,Food,Tier 2,Success,Android
2324c237-78b7-46ef-b211-48c1bc6c8c5c,ba563d74,2024-06-24 06:43:00,112.82,Transport,Tier 2,Success,iOS
e73027c9-06c1-47f3-955f-254504c29d48,88db6f87,2024-01-27 02:40:00,280.39,Transport,Tier 1,Success,Android
ac849eea-4da7-4dc7-ab5b-11df7433ea53,8d9f6c4a,2024-05-14 05:47:00,382.69,EMI,Tier 1,Success,Android
7aa5cc1f-2e31-4cac-9c44-a2a676c4cb74,7084335d,2024-12-19 04:34:00,2365.03,Transport,Tier 2,Success,Android
6ae32265-ede4-4adf-bd4b-8b7675664713,584fc878,2024-06-06 11:57:00,1004.6,Transport,Tier 3,Failed,Android
772f49db-b23b-49fb-8ac2-0fb1cf08d244,f70ba26e,2024-05-07 21:06:00,80.19,Transport,Tier 3,Success,Android
5c09b7df-bc91-4b1f-a54e-9b4ae9c2214f,427baaae,2024-03-20 07:55:00,981.32,Medical,Tier 3,Failed,Android
e1a862cc-cee8-457f-ac96-1e6fffc6114e,a7ef6676,2024-06-19 13:51:00,419.01,Transport,Tier 3,Success,iOS
ae4f8231-23eb-4764-b446-4a229f399646,818a6565,2024-02-25 12:55:00,295.21,Transport,Tier 1,Success,Android
72ee9f6d-7b4d-42cd-bd37-ad8ca1352a8f,0ebf1a38,2024-06-05 07:14:00,1385.77,Shopping,Tier 1,Success,Android
05997af8-6b13-4c94-bcf3-9937ae7df104,cc17b8b2,2024-05-22 11:41:00,2292.04,Groceries,Tier 3,Success,Web
e149045c-823e-43f2-baeb-fbc1cff47c77,fb0f88d8,2024-02-29 08:11:00,2033.55,Medical,Tier 1,Success,Android
3417e635-9906-4e28-a32d-064d8a6e2e6c,b97895ea,2024-06-09 13:38:00,242.97,Food,Tier 3,Success,Android
2d915ae1-7cf1-46ad-9ff8-193ea1cf2242,ad56e68e,2024-08-11 00:33:00,458.95,Transport,Tier 2,Failed,iOS
dc36ec56-2893-4a45-872b-6d0312118511,6c8495c7,2024-04-10 11:27:00,989.81,Utilities,Tier 3,Success,Android
ef58a6e5-f283-4a20-a724-34298b86ab18,5c7502f9,2024-03-04 23:57:00,2144.48,Recharge,Tier 2,Success,Android
24479779-dfdf-406b-97cf-905a4449c72d,907862a5,2024-10-10 04:12:00,374.28,Shopping,Tier 1,Success,Android
9adf7abb-5ec9-4c69-b779-2f73010c01ba,92bb4898,2024-10-18 09:25:00,532.3,Transport,Tier 1,Success,iOS
0b5a4958-d364-4431-b8cf-4c74284d1bbd,6acf9636,2024-11-06 20:20:00,176.34,Recharge,Tier 2,Success,iOS
65ff843e-7d37-4062-8091-0514458a7e81,1c9a0902,2024-03-27 21:05:00,158.31,Recharge,Tier 2,Success,iOS
6f42819c-c6f6-467c-9817-7f89c73ed124,a95b3c9f,2024-04-30 21:19:00,1763.46,Transport,Tier 1,Success,Web
1428eaae-db0b-4a37-a956-6e5b238c7ae7,91942810,2024-11-08 02:29:00,3386.28,Utilities,Tier 2,Success,Android
1c79d98c-aa26-4751-a08b-e0ffa3466204,169eb9e8,2024-07-23 07:09:00,610.08,Shopping,Tier 3,Success,iOS
3decae39-7e59-43c0-96e2-de25a8e517f8,63123674,2024-08-05 07:11:00,2217.73,Utilities,Tier 2,Success,Android
0e37c9dc-c3e9-4d5c-8716-40663439dc15,c88c81f2,2024-03-03 14:08:00,1026.55,Recharge,Tier 2,Success,Android
