transaction_id,user_id,timestamp,amount,merchant_category,city_tier,payment_status,device_type,hour,day_name,month,month_name,week,is_weekend,quarter,time_of_day,amount_bucket,user_mean,user_std,amt_zscore,flag_amount,flag_night,flag_velocity,fraud_score,fraud_risk
0b0cfae0-984d-4bf9-a5e8-3ba879e4eb5a,5df670d2,2024-11-23 03:01:00,1207.2,Groceries,Tier 1,Success,Android,3,Saturday,11,Nov,47,True,4,Late Night,Mid(₹500-2K),1102.1029411764705,1384.369508231837,0.07591691249958475,False,False,False,0,Clean
190358a0-6b30-4b81-898f-512bb91d4fcc,88db6f87,2024-10-06 02:37:00,563.45,Food,Tier 1,Success,Android,2,Sunday,10,Oct,40,True,4,Late Night,Mid(₹500-2K),831.8325,784.1169640429928,-0.34227355395576503,False,False,False,0,Clean
c2a897e7-21a4-44c6-9b08-27c865880e66,200744eb,2024-10-14 06:45:00,1446.97,Shopping,Tier 1,Success,Android,6,Monday,10,Oct,42,False,4,Morning,Mid(₹500-2K),1307.8528571428571,1404.251760604358,0.09906851944929734,False,False,False,0,Clean
deeb22a0-6165-4f2a-a4ad-76faae86835a,4c20c4ac,2024-02-17 12:06:00,502.21,Transport,Tier 2,Success,iOS,12,Saturday,2,Feb,7,True,1,Afternoon,Mid(₹500-2K),677.6653333333333,600.4486681624794,-0.2922070488894076,False,False,False,0,Clean
abc22590-cc43-49fb-adb4-3ff939043a79,2f2ea522,2024-10-01 03:59:00,502.22,Food,Tier 1,Success,iOS,3,Tuesday,10,Oct,40,False,4,Late Night,Mid(₹500-2K),1289.98,1343.3298171624783,-0.5864233711896525,False,False,False,0,Clean
f5ac97fe-9d83-4073-9a03-81417c0bcd0b,1aad5456,2024-07-04 18:12:00,4425.13,Food,Tier 2,Success,Web,18,Thursday,7,Jul,27,False,3,Evening,Large(₹2K-10K),2216.45,3806.962444543999,0.580168581165123,False,False,False,0,Clean
471061e2-1cc0-4d53-bd1b-dbbccb62aa3d,1fee0ba6,2024-04-29 03:24:00,1670.57,Recharge,Tier 3,Success,Android,3,Monday,4,Apr,18,False,2,Late Night,Mid(₹500-2K),1343.506842105263,1956.262041542074,0.16718780559526722,False,False,False,0,Clean
11c196ad-a069-4aa7-9e9b-4f3ed036446a,46338114,2024-12-09 08:44:00,378.66,Shopping,Tier 1,Success,Android,8,Monday,12,Dec,50,False,4,Morning,Small(₹100-500),1003.7027272727272,1109.9158958415806,-0.5631442252647404,False,False,False,0,Clean
f2adc40b-e25f-4135-ab56-c7906a15f9b2,9eecea90,2024-05-05 05:29:00,1275.47,Groceries,Tier 3,Success,Android,5,Sunday,5,May,18,True,2,Late Night,Mid(₹500-2K),1031.2588888888888,1140.854133233666,0.21405989074073214,False,False,False,0,Clean
182d78d7-2cd7-4d67-a90c-7864bfd51063,01c8cb58,2024-06-15 01:14:00,381.42,Food,Tier 1,Success,Android,1,Saturday,6,Jun,24,True,2,Late Night,Small(₹100-500),1694.1230769230767,2077.4382184491255,-0.6318854949645876,False,False,False,0,Clean
